site_code,borough,lat,lon,sensor_type,year,month,month_name,pollutant,value,date,averaging_period,site_name
1,Merton,51.40717,-0.23096145,DT,2017,0,Annual,NO2,52.0,2017-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2017,0,Annual,NO2,55.0,2017-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2018,0,Annual,NO2,48.0,2018-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2018,0,Annual,NO2,41.0,2018-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2019,0,Annual,NO2,47.0,2019-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2019,0,Annual,NO2,35.0,2019-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2020,0,Annual,NO2,34.3,2020-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2020,0,Annual,NO2,25.0,2020-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2021,0,Annual,NO2,35.9,2021-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2021,0,Annual,NO2,26.0,2021-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2022,0,Annual,NO2,36.1,2022-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2022,0,Annual,NO2,22.0,2022-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2023,0,Annual,NO2,29.8,2023-01,Annual,Bushey Road
1,Richmond upon Thames,51.406543,-0.336162,DT,2023,0,Annual,NO2,19.6,2023-01,Annual,"Hampton Court Rd, Hampton (nr Bushy Pk gates)"
1,Merton,51.40717,-0.23096145,DT,2024,0,Annual,NO2,25.7,2024-01,Annual,Bushey Road
10,Richmond upon Thames,51.437755,-0.370048,DT,2017,0,Annual,NO2,42.0,2017-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2018,0,Annual,NO2,41.0,2018-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2019,0,Annual,NO2,40.0,2019-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2020,0,Annual,NO2,33.0,2020-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2021,0,Annual,NO2,33.0,2021-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2022,0,Annual,NO2,26.0,2022-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
10,Richmond upon Thames,51.437755,-0.370048,DT,2023,0,Annual,NO2,24.5,2023-01,Annual,"Twickenham Rd, Twickenham (opp. Fulwell golf course)"
11,Merton,51.415491,-0.19521952,DT,2017,0,Annual,NO2,35.0,2017-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2017,0,Annual,NO2,47.0,2017-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2018,0,Annual,NO2,35.0,2018-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2018,0,Annual,NO2,46.0,2018-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2019,0,Annual,NO2,34.0,2019-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2019,0,Annual,NO2,34.0,2019-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2020,0,Annual,NO2,27.8,2020-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2020,0,Annual,NO2,27.0,2020-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2021,0,Annual,NO2,27.9,2021-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2021,0,Annual,NO2,27.0,2021-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2022,0,Annual,NO2,25.7,2022-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2022,0,Annual,NO2,24.0,2022-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2023,0,Annual,NO2,22.9,2023-01,Annual,Kingston Road
11,Richmond upon Thames,51.447996,-0.358948,DT,2023,0,Annual,NO2,22.8,2023-01,Annual,"Percy Rd, Whitton (nr. Percy Way)"
11,Merton,51.415491,-0.19521952,DT,2024,0,Annual,NO2,18.6,2024-01,Annual,Kingston Road
12,Merton,51.411418,-0.22766267,DT,2017,0,Annual,NO2,30.0,2017-01,Annual,"Pepys Road 
Morden "
12,Richmond upon Thames,51.44875,-0.380853,DT,2017,0,Annual,NO2,41.0,2017-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2018,0,Annual,NO2,44.0,2018-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2019,0,Annual,NO2,40.0,2019-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2020,0,Annual,NO2,31.0,2020-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2021,0,Annual,NO2,30.0,2021-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2022,0,Annual,NO2,26.0,2022-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
12,Richmond upon Thames,51.44875,-0.380853,DT,2023,0,Annual,NO2,23.2,2023-01,Annual,"Hanworth Rd, Whitton ( nr Lyndhurst Ave)"
13,Merton,51.417575,-0.2298263,DT,2017,0,Annual,NO2,44.0,2017-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2017,0,Annual,NO2,42.0,2017-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2018,0,Annual,NO2,37.0,2018-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2018,0,Annual,NO2,40.0,2018-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2019,0,Annual,NO2,35.0,2019-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2019,0,Annual,NO2,39.0,2019-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2020,0,Annual,NO2,23.4,2020-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2020,0,Annual,NO2,36.0,2020-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2021,0,Annual,NO2,23.8,2021-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2021,0,Annual,NO2,30.0,2021-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2022,0,Annual,NO2,19.8,2022-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2022,0,Annual,NO2,24.0,2022-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2023,0,Annual,NO2,17.2,2023-01,Annual,Cottenham Park Road 
13,Richmond upon Thames,51.454003,-0.343015,DT,2023,0,Annual,NO2,21.0,2023-01,Annual,"Whitton Rd, Whitton, (opp. rugby ground)"
13,Merton,51.417575,-0.2298263,DT,2024,0,Annual,NO2,23.3,2024-01,Annual,Cottenham Park Road 
14,Merton,51.423342,-0.21635622,DT,2017,0,Annual,NO2,44.0,2017-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2018,0,Annual,NO2,42.0,2018-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2019,0,Annual,NO2,44.0,2019-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2020,0,Annual,NO2,26.9,2020-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2021,0,Annual,NO2,27.6,2021-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2022,0,Annual,NO2,25.2,2022-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2023,0,Annual,NO2,22.0,2023-01,Annual,20 The Ridgeway
14,Merton,51.423342,-0.21635622,DT,2024,0,Annual,NO2,24.9,2024-01,Annual,20 The Ridgeway
15,Richmond upon Thames,51.452261,-0.314754,DT,2017,0,Annual,NO2,38.0,2017-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2018,0,Annual,NO2,34.0,2018-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2019,0,Annual,NO2,32.0,2019-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2020,0,Annual,NO2,26.0,2020-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2021,0,Annual,NO2,26.0,2021-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2022,0,Annual,NO2,21.0,2022-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
15,Richmond upon Thames,51.452261,-0.314754,DT,2023,0,Annual,NO2,19.6,2023-01,Annual,"Richmond Rd, Twickenham (opp. Marble Hill Pk)"
16,Merton,51.425104,-0.21692051,DT,2017,0,Annual,NO2,39.0,2017-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2018,0,Annual,NO2,45.0,2018-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2019,0,Annual,NO2,45.0,2019-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2020,0,Annual,NO2,32.6,2020-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2021,0,Annual,NO2,36.4,2021-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2022,0,Annual,NO2,31.1,2022-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2023,0,Annual,NO2,26.7,2023-01,Annual,84 High Street
16,Merton,51.425104,-0.21692051,DT,2024,0,Annual,NO2,22.6,2024-01,Annual,84 High Street
17,Merton,51.423179,-0.20921394,DT,2017,0,Annual,NO2,30.0,2017-01,Annual,Woodside Wimbledon
17,Richmond upon Thames,51.459519,-0.305476,DT,2017,0,Annual,NO2,60.0,2017-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2018,0,Annual,NO2,54.0,2018-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2019,0,Annual,NO2,50.0,2019-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2020,0,Annual,NO2,40.0,2020-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2021,0,Annual,NO2,46.0,2021-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2022,0,Annual,NO2,31.0,2022-01,Annual,"Red Lion Street, Richmond "
17,Richmond upon Thames,51.459519,-0.305476,DT,2023,0,Annual,NO2,26.8,2023-01,Annual,"Red Lion Street, Richmond "
18,Merton,51.421829,-0.20800097,DT,2017,0,Annual,NO2,64.0,2017-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2017,0,Annual,NO2,58.0,2017-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2018,0,Annual,NO2,66.0,2018-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2018,0,Annual,NO2,46.0,2018-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2019,0,Annual,NO2,65.0,2019-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2019,0,Annual,NO2,46.0,2019-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2020,0,Annual,NO2,56.9,2020-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2020,0,Annual,NO2,41.0,2020-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2021,0,Annual,NO2,57.7,2021-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2021,0,Annual,NO2,39.0,2021-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2022,0,Annual,NO2,52.3,2022-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2022,0,Annual,NO2,30.0,2022-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2023,0,Annual,NO2,44.8,2023-01,Annual,25-27 Wimbledon Hill
18,Richmond upon Thames,51.466814,-0.290808,DT,2023,0,Annual,NO2,30.0,2023-01,Annual,"Lower Mortlake Rd, Richmond (nr Trinity Rd)"
18,Merton,51.421829,-0.20800097,DT,2024,0,Annual,NO2,41.7,2024-01,Annual,25-27 Wimbledon Hill
19,Merton,51.421094,-0.20696539,DT,2017,0,Annual,NO2,52.0,2017-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2017,0,Annual,NO2,49.0,2017-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2018,0,Annual,NO2,55.0,2018-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2018,0,Annual,NO2,42.0,2018-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2019,0,Annual,NO2,51.0,2019-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2019,0,Annual,NO2,37.0,2019-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2020,0,Annual,NO2,40.2,2020-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2020,0,Annual,NO2,30.0,2020-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2021,0,Annual,NO2,40.0,2021-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2021,0,Annual,NO2,28.0,2021-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2022,0,Annual,NO2,37.8,2022-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2022,0,Annual,NO2,21.0,2022-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2023,0,Annual,NO2,33.4,2023-01,Annual,Wimbledon Station
19,Richmond upon Thames,51.471939,-0.293194,DT,2023,0,Annual,NO2,22.5,2023-01,Annual,"Kew Rd, Kew (nr. Walpole Av)"
19,Merton,51.421094,-0.20696539,DT,2024,0,Annual,NO2,30.0,2024-01,Annual,Wimbledon Station
2,Merton,51.385135,-0.21240963,DT,2017,0,Annual,NO2,41.0,2017-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2017,0,Annual,NO2,29.0,2017-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2018,0,Annual,NO2,37.0,2018-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2018,0,Annual,NO2,32.0,2018-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2019,0,Annual,NO2,36.0,2019-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2019,0,Annual,NO2,29.0,2019-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2020,0,Annual,NO2,26.8,2020-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2020,0,Annual,NO2,21.0,2020-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2021,0,Annual,NO2,29.9,2021-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2021,0,Annual,NO2,24.0,2021-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2022,0,Annual,NO2,24.7,2022-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2022,0,Annual,NO2,21.0,2022-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2023,0,Annual,NO2,21.5,2023-01,Annual,Stonecot Hill
2,Richmond upon Thames,51.415437,-0.37333,DT,2023,0,Annual,NO2,18.6,2023-01,Annual,"Percy Rd, Hampton (nr. level crossing/Waitrose)"
2,Merton,51.385135,-0.21240963,DT,2024,0,Annual,NO2,17.7,2024-01,Annual,Stonecot Hill
20,Merton,51.41977,-0.20562213,DT,2017,0,Annual,NO2,48.0,2017-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2017,0,Annual,NO2,45.0,2017-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2018,0,Annual,NO2,55.0,2018-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2018,0,Annual,NO2,38.0,2018-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2019,0,Annual,NO2,52.0,2019-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2019,0,Annual,NO2,38.0,2019-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2020,0,Annual,NO2,38.9,2020-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2020,0,Annual,NO2,30.0,2020-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2021,0,Annual,NO2,46.8,2021-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2021,0,Annual,NO2,28.0,2021-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2022,0,Annual,NO2,39.8,2022-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2022,0,Annual,NO2,32.0,2022-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2023,0,Annual,NO2,31.2,2023-01,Annual,Hartfield Road
20,Richmond upon Thames,51.481393,-0.284747,DT,2023,0,Annual,NO2,30.2,2023-01,Annual,"Mortlake Rd, Kew (nr. Kings Schl)"
20,Merton,51.41977,-0.20562213,DT,2024,0,Annual,NO2,27.8,2024-01,Annual,Hartfield Road
21,Merton,51.415798,-0.1923887,DT,2017,0,Annual,NO2,57.0,2017-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2018,0,Annual,NO2,69.0,2018-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2019,0,Annual,NO2,63.0,2019-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2020,0,Annual,NO2,51.5,2020-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2021,0,Annual,NO2,58.7,2021-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2022,0,Annual,NO2,51.0,2022-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2023,0,Annual,NO2,44.7,2023-01,Annual,246 Merton Road
21,Merton,51.415798,-0.1923887,DT,2024,0,Annual,NO2,34.7,2024-01,Annual,246 Merton Road
22,Merton,51.405583,-0.16463927,DT,2017,0,Annual,NO2,77.0,2017-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2017,0,Annual,NO2,52.0,2017-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2018,0,Annual,NO2,64.0,2018-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2018,0,Annual,NO2,45.0,2018-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2019,0,Annual,NO2,57.0,2019-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2019,0,Annual,NO2,32.0,2019-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2020,0,Annual,NO2,47.0,2020-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2020,0,Annual,NO2,21.0,2020-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2021,0,Annual,NO2,44.6,2021-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2021,0,Annual,NO2,22.0,2021-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2022,0,Annual,NO2,44.6,2022-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2022,0,Annual,NO2,17.0,2022-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2023,0,Annual,NO2,42.4,2023-01,Annual,12-16 Upper Green West
22,Richmond upon Thames,51.486787,-0.232001,DT,2023,0,Annual,NO2,17.1,2023-01,Annual,"Castelnau, Barnes (nr. Hammersmith Bridge)"
22,Merton,51.405583,-0.16463927,DT,2024,0,Annual,NO2,39.0,2024-01,Annual,12-16 Upper Green West
23,Merton,51.414628,-0.20166738,DT,2017,0,Annual,NO2,61.0,2017-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2017,0,Annual,NO2,35.0,2017-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2018,0,Annual,NO2,58.0,2018-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2018,0,Annual,NO2,31.0,2018-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2019,0,Annual,NO2,55.0,2019-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2019,0,Annual,NO2,26.0,2019-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2020,0,Annual,NO2,49.0,2020-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2020,0,Annual,NO2,20.0,2020-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2021,0,Annual,NO2,46.1,2021-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2021,0,Annual,NO2,21.0,2021-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2022,0,Annual,NO2,42.0,2022-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2022,0,Annual,NO2,17.0,2022-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2023,0,Annual,NO2,38.2,2023-01,Annual,183 Kingston Road
23,Richmond upon Thames,51.480194,-0.237311,DT,2023,0,Annual,NO2,16.4,2023-01,Annual,"Castelnau Library, Barnes (static site)"
23,Merton,51.414628,-0.20166738,DT,2024,0,Annual,NO2,30.1,2024-01,Annual,183 Kingston Road
24,Merton,51.418205,-0.20385689,DT,2017,0,Annual,NO2,38.0,2017-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2018,0,Annual,NO2,39.0,2018-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2019,0,Annual,NO2,32.0,2019-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2020,0,Annual,NO2,30.8,2020-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2021,0,Annual,NO2,29.4,2021-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2022,0,Annual,NO2,28.1,2022-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2023,0,Annual,NO2,22.8,2023-01,Annual,75 Hartfield Road
24,Merton,51.418205,-0.20385689,DT,2024,0,Annual,NO2,18.1,2024-01,Annual,75 Hartfield Road
25,Merton,51.425459,-0.20187515,DT,2017,0,Annual,NO2,41.0,2017-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2017,0,Annual,NO2,46.0,2017-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2018,0,Annual,NO2,39.0,2018-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2018,0,Annual,NO2,38.0,2018-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2019,0,Annual,NO2,40.0,2019-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2019,0,Annual,NO2,36.0,2019-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2020,0,Annual,NO2,31.6,2020-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2020,0,Annual,NO2,34.0,2020-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2021,0,Annual,NO2,33.8,2021-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2021,0,Annual,NO2,34.0,2021-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2022,0,Annual,NO2,27.6,2022-01,Annual,Alexandra Road
25,Richmond upon Thames,51.465142,-0.25665,DT,2022,0,Annual,NO2,29.0,2022-01,Annual,"URRW, (nr. East Sheen Primary Schl)"
25,Merton,51.425459,-0.20187515,DT,2023,0,Annual,NO2,25.2,2023-01,Annual,Alexandra Road
